category,applicable,regime_class,boundary_flag,unclassifiable_flag,bivariate_rho_t1,bivariate_rho_t2,partial_rho_t1,partial_rho_t2,decrement_t1,decrement_t2,n_eligible_t1,n_eligible_t2,rationale
pmsoftware,True,Regime 1 (Marginal direct),False,False,0.5058722274550078,0.4816543256470345,0.41700775036688037,0.43405754278641745,0.08886447708812745,0.047596782860617026,17.0,18.0,"ρ_t1=0.506, ρ_t2=0.482, partial_ρ_t1=0.417, partial_ρ_t2=0.434, Δ_t1=0.089, Δ_t2=0.048, n_t1=17, n_t2=18."
oliveoil,False,Regime 3 (Scale-mismatch via §3.6a),False,False,,,,,,,,,Descriptive-only routing inherits Regime 3 classification.
running,True,Regime 2 (Age-mediated strong),True,False,0.8077053994398153,0.7858755237792797,0.4660146297250486,0.4876074409479766,0.34169076971476675,0.2982680828313031,12.0,12.0,"ρ_t1=0.808, ρ_t2=0.786, partial_ρ_t1=0.466, partial_ρ_t2=0.488, Δ_t1=0.342, Δ_t2=0.298, n_t1=12, n_t2=12."
skincare,True,Unclassifiable (matches neither Regime 1 nor 2),True,True,0.28201732068245106,0.33233011605588103,-0.20507438307086356,-0.11657259032515935,0.4870917037533146,0.44890270638104035,28.0,28.0,"ρ_t1=0.282, ρ_t2=0.332, partial_ρ_t1=-0.205, partial_ρ_t2=-0.117, Δ_t1=0.487, Δ_t2=0.449, n_t1=28, n_t2=28."
finance,True,Unclassifiable (matches neither Regime 1 nor 2),False,True,0.16781308860362248,0.09379390644354006,-0.15853303947565348,-0.2865004808029001,0.326346128079276,0.38029438724644016,13.0,13.0,"ρ_t1=0.168, ρ_t2=0.094, partial_ρ_t1=-0.159, partial_ρ_t2=-0.287, Δ_t1=0.326, Δ_t2=0.380, n_t1=13, n_t2=13."
